artists,duration_ms_x,explicit,id_x,name,popularity,search_query,acousticness,analysis_url,danceability,duration_ms_y,energy,id_y,instrumentalness,key_x,liveness,loudness_x,mode_x,speechiness,tempo_x,time_signature_x,track_href,type,uri,valence,analysis_channels,analysis_sample_rate,duration,end_of_fade_in,id,key_y,key_confidence,loudness_y,mode_y,mode_confidence,num_samples,offset_seconds,sample_md5,start_of_fade_out,tempo_y,tempo_confidence,time_signature_y,time_signature_confidence,window_seconds
6ix9ine,166851,True,27oFpFktCq9JIXjJQRuv7a,GOTTI,75,6ix9ine gotti,0.0524,https://api.spotify.com/v1/audio-analysis/27oFpFktCq9JIXjJQRuv7a,0.728,166852,0.584,27oFpFktCq9JIXjJQRuv7a,0.0,10,0.0658,-7.255,0,0.176,161.9,4,https://api.spotify.com/v1/tracks/27oFpFktCq9JIXjJQRuv7a,audio_features,spotify:track:27oFpFktCq9JIXjJQRuv7a,0.365,1,22050,166.85184,0.18331,27oFpFktCq9JIXjJQRuv7a,10,0.43,-7.255,0,0.593,3679083,0,,159.41079,161.9,0.439,4,1.0,0
6ix9ine,157643,True,4HbiCvH1R7mVOJ7KY7JQBD,GUMMO,74,6ix9ine gummo,0.0553,https://api.spotify.com/v1/audio-analysis/4HbiCvH1R7mVOJ7KY7JQBD,0.66,157643,0.775,4HbiCvH1R7mVOJ7KY7JQBD,0.0,2,0.129,-4.926,1,0.172,157.036,4,https://api.spotify.com/v1/tracks/4HbiCvH1R7mVOJ7KY7JQBD,audio_features,spotify:track:4HbiCvH1R7mVOJ7KY7JQBD,0.635,1,22050,157.64331,0.19723,4HbiCvH1R7mVOJ7KY7JQBD,2,0.567,-4.926,1,0.438,3476035,0,,152.00943,157.036,0.041,4,0.801,0
6ix9ine,142582,True,0tYHqwTW4s6VuPWDSD7n7K,KOODA,70,6ix9ine kooda,0.175,https://api.spotify.com/v1/audio-analysis/0tYHqwTW4s6VuPWDSD7n7K,0.885,142582,0.641,0tYHqwTW4s6VuPWDSD7n7K,0.0,1,0.234,-4.455,1,0.351,91.167,4,https://api.spotify.com/v1/tracks/0tYHqwTW4s6VuPWDSD7n7K,audio_features,spotify:track:0tYHqwTW4s6VuPWDSD7n7K,0.201,1,22050,142.5824,0.16295,0tYHqwTW4s6VuPWDSD7n7K,1,0.509,-4.455,1,0.488,3143942,0,,137.27057,91.167,0.107,4,1.0,0
"6ix9ine, Tory Lanez, Young Thug",138473,True,3p6JF5nt0bZOSgZRONNZp0,RONDO,66,6ix9ine rondo,0.053,https://api.spotify.com/v1/audio-analysis/3p6JF5nt0bZOSgZRONNZp0,0.605,138474,0.789,3p6JF5nt0bZOSgZRONNZp0,0.0,9,0.735,-4.833,0,0.288,189.866,4,https://api.spotify.com/v1/tracks/3p6JF5nt0bZOSgZRONNZp0,audio_features,spotify:track:3p6JF5nt0bZOSgZRONNZp0,0.731,1,22050,138.4737,0.15669,3p6JF5nt0bZOSgZRONNZp0,9,0.3,-4.833,0,0.427,3053345,0,,133.65406,189.866,0.104,4,0.957,0
"6ix9ine, DJ SpinKing",154565,True,6wJrqTE6c4NtfDqAcSRcBf,TATI (feat. DJ SpinKing),75,6ix9ine tati,0.00214,https://api.spotify.com/v1/audio-analysis/6wJrqTE6c4NtfDqAcSRcBf,0.779,154565,0.767,6wJrqTE6c4NtfDqAcSRcBf,0.0,11,0.102,-5.462,0,0.258,91.981,4,https://api.spotify.com/v1/tracks/6wJrqTE6c4NtfDqAcSRcBf,audio_features,spotify:track:6wJrqTE6c4NtfDqAcSRcBf,0.523,1,22050,154.56522,0.23823,6wJrqTE6c4NtfDqAcSRcBf,11,0.582,-5.462,0,0.471,3408163,0,,149.10113,91.981,0.127,4,0.991,0
"6ix9ine, Fetty Wap, A Boogie Wit da Hoodie",151914,True,14PlDNjNh3pXyHXzkhX8n5,KEKE,71,"6ix9ine, fetty wap keke",0.0321,https://api.spotify.com/v1/audio-analysis/14PlDNjNh3pXyHXzkhX8n5,0.599,151915,0.857,14PlDNjNh3pXyHXzkhX8n5,0.0,7,0.4,-5.7,1,0.299,187.985,4,https://api.spotify.com/v1/tracks/14PlDNjNh3pXyHXzkhX8n5,audio_features,spotify:track:14PlDNjNh3pXyHXzkhX8n5,0.469,1,22050,151.91488,0.29592,14PlDNjNh3pXyHXzkhX8n5,7,0.569,-5.7,1,0.549,3349723,0,,139.67964,187.985,0.3,4,0.623,0
"A Boogie Wit da Hoodie, PnB Rock, YoungBoy Never Broke Again",258158,True,1AH60dMaEfNjzDoUIFwIQi,Beast Mode (feat. PnB Rock & YoungBoy Never Broke Again),70,a boogie wit da hoodie beast mode,0.035,https://api.spotify.com/v1/audio-analysis/1AH60dMaEfNjzDoUIFwIQi,0.611,258158,0.478,1AH60dMaEfNjzDoUIFwIQi,0.0,0,0.107,-5.839,1,0.107,172.076,4,https://api.spotify.com/v1/tracks/1AH60dMaEfNjzDoUIFwIQi,audio_features,spotify:track:1AH60dMaEfNjzDoUIFwIQi,0.138,1,22050,258.1581,0.0,1AH60dMaEfNjzDoUIFwIQi,0,0.428,-5.839,1,0.445,5692386,0,,253.6722,172.076,0.88,4,0.99,0
"A Boogie Wit da Hoodie, Kodak Black",209269,True,1f5cbQtDrykjarZVrShaDI,Drowning (feat. Kodak Black),80,a boogie wit da hoodie drowning,0.501,https://api.spotify.com/v1/audio-analysis/1f5cbQtDrykjarZVrShaDI,0.839,209269,0.81,1f5cbQtDrykjarZVrShaDI,0.0,5,0.117,-5.274,0,0.0568,129.014,4,https://api.spotify.com/v1/tracks/1f5cbQtDrykjarZVrShaDI,audio_features,spotify:track:1f5cbQtDrykjarZVrShaDI,0.814,1,22050,209.26921,2.02014,1f5cbQtDrykjarZVrShaDI,5,0.348,-5.274,0,0.415,4614386,0,,205.89714,129.014,0.86,4,1.0,0
A Boogie Wit da Hoodie,197666,True,2BJpuAoDeQ1QuPvnryfAWK,No Promises,63,a boogie wit da hoodie no promises,0.0164,https://api.spotify.com/v1/audio-analysis/2BJpuAoDeQ1QuPvnryfAWK,0.759,197667,0.646,2BJpuAoDeQ1QuPvnryfAWK,0.0,5,0.137,-7.815,0,0.304,145.005,4,https://api.spotify.com/v1/tracks/2BJpuAoDeQ1QuPvnryfAWK,audio_features,spotify:track:2BJpuAoDeQ1QuPvnryfAWK,0.242,1,22050,197.66667,0.0,2BJpuAoDeQ1QuPvnryfAWK,5,0.353,-7.815,0,0.32,4358550,0,,184.70893,145.005,0.092,4,0.989,0
A Boogie Wit da Hoodie,214853,True,3AMnOVxEHUgVrythGgqPhI,Say A',67,a boogie wit da hoodie say a',0.391,https://api.spotify.com/v1/audio-analysis/3AMnOVxEHUgVrythGgqPhI,0.831,214854,0.814,3AMnOVxEHUgVrythGgqPhI,0.0,5,0.109,-5.18,1,0.474,161.041,4,https://api.spotify.com/v1/tracks/3AMnOVxEHUgVrythGgqPhI,audio_features,spotify:track:3AMnOVxEHUgVrythGgqPhI,0.846,1,22050,214.85374,0.0,3AMnOVxEHUgVrythGgqPhI,5,0.516,-5.18,1,0.487,4737525,0,,201.57243,161.041,0.241,4,1.0,0
"A Boogie Wit da Hoodie, 21 Savage",174012,True,2vaMWMPMgsWX4fwJiKmdWm,Undefeated (feat. 21 Savage),64,a boogie wit da hoodie undefeated,0.293,https://api.spotify.com/v1/audio-analysis/2vaMWMPMgsWX4fwJiKmdWm,0.717,174012,0.753,2vaMWMPMgsWX4fwJiKmdWm,0.0,7,0.158,-4.609,0,0.311,169.857,4,https://api.spotify.com/v1/tracks/2vaMWMPMgsWX4fwJiKmdWm,audio_features,spotify:track:2vaMWMPMgsWX4fwJiKmdWm,0.631,1,22050,174.01211,0.0,2vaMWMPMgsWX4fwJiKmdWm,7,0.867,-4.609,0,0.748,3836967,0,,168.09506,169.857,0.135,4,1.0,0
A$AP Ferg,173600,True,4dVpf9jZjcORqGTLUaeYj9,Plain Jane,80,a$ap ferg plain jane,0.0651,https://api.spotify.com/v1/audio-analysis/4dVpf9jZjcORqGTLUaeYj9,0.797,173600,0.844,4dVpf9jZjcORqGTLUaeYj9,0.0,11,0.087,-5.482,1,0.275,170.142,4,https://api.spotify.com/v1/tracks/4dVpf9jZjcORqGTLUaeYj9,audio_features,spotify:track:4dVpf9jZjcORqGTLUaeYj9,0.52,1,22050,173.6,0.0,4dVpf9jZjcORqGTLUaeYj9,11,0.407,-5.482,1,0.288,3827880,0,,168.29243,170.142,0.095,4,1.0,0
"A$AP Rocky, Moby",233061,True,1YmF9PvLhIISIANoMLIYGq,A$AP Forever,72,a$ap rocky a$ap forever,0.224,https://api.spotify.com/v1/audio-analysis/1YmF9PvLhIISIANoMLIYGq,0.469,233061,0.78,1YmF9PvLhIISIANoMLIYGq,0.0,10,0.13,-6.49,0,0.122,125.999,4,https://api.spotify.com/v1/tracks/1YmF9PvLhIISIANoMLIYGq,audio_features,spotify:track:1YmF9PvLhIISIANoMLIYGq,0.444,1,22050,233.06141,0.0,1YmF9PvLhIISIANoMLIYGq,10,0.318,-6.49,0,0.384,5139004,0,,230.26068,125.999,0.017,4,0.872,0
"A$AP Rocky, Skepta",205040,True,7ycWLEP1GsNjVvcjawXz3z,Praise The Lord (Da Shine) (feat. Skepta),85,a$ap rocky praise the lord (da shine),0.0609,https://api.spotify.com/v1/audio-analysis/7ycWLEP1GsNjVvcjawXz3z,0.85,205040,0.569,7ycWLEP1GsNjVvcjawXz3z,0.0816,5,0.1,-8.152,0,0.136,80.02,4,https://api.spotify.com/v1/tracks/7ycWLEP1GsNjVvcjawXz3z,audio_features,spotify:track:7ycWLEP1GsNjVvcjawXz3z,0.294,1,22050,205.04,0.08649,7ycWLEP1GsNjVvcjawXz3z,5,0.453,-8.152,0,0.467,4521132,0,,205.03999,80.02,0.552,4,1.0,0
AJR,202193,False,45iMRHmfLZu3yjdZ8P5e3t,Weak,68,ajr weak,0.127,https://api.spotify.com/v1/audio-analysis/45iMRHmfLZu3yjdZ8P5e3t,0.672,202194,0.642,45iMRHmfLZu3yjdZ8P5e3t,0.0,5,0.137,-4.552,1,0.0461,123.984,4,https://api.spotify.com/v1/tracks/45iMRHmfLZu3yjdZ8P5e3t,audio_features,spotify:track:45iMRHmfLZu3yjdZ8P5e3t,0.656,1,22050,202.19356,0.25664,45iMRHmfLZu3yjdZ8P5e3t,5,0.369,-4.552,1,0.464,4458368,0,,196.81814,123.984,0.32,4,0.87,0
Addison Agen,210985,False,54p39OJ544KF6iFeCzbVjs,Tennessee Rain - The Voice Performance,42,addison agen tennessee rain,0.907,https://api.spotify.com/v1/audio-analysis/54p39OJ544KF6iFeCzbVjs,0.553,210986,0.232,54p39OJ544KF6iFeCzbVjs,0.0,9,0.123,-6.929,1,0.0326,137.8,4,https://api.spotify.com/v1/tracks/54p39OJ544KF6iFeCzbVjs,audio_features,spotify:track:54p39OJ544KF6iFeCzbVjs,0.274,1,22050,210.9859,0.0,54p39OJ544KF6iFeCzbVjs,9,0.596,-6.929,1,0.56,4652239,0,,204.5678,137.8,0.604,4,0.528,0
Adele,240426,False,4vb4mFvYsr2h6enhjJsq9Y,Water Under the Bridge,69,adele water under the bridge,0.0189,https://api.spotify.com/v1/audio-analysis/4vb4mFvYsr2h6enhjJsq9Y,0.596,240427,0.838,4vb4mFvYsr2h6enhjJsq9Y,1.54e-05,5,0.108,-6.52,0,0.0704,94.982,4,https://api.spotify.com/v1/tracks/4vb4mFvYsr2h6enhjJsq9Y,audio_features,spotify:track:4vb4mFvYsr2h6enhjJsq9Y,0.472,1,22050,240.42667,0.1868,4vb4mFvYsr2h6enhjJsq9Y,5,0.419,-6.52,0,0.516,5301408,0,,231.55519,94.982,0.055,4,0.948,0
Alessia Cara,227693,False,4WzhjxvLP95y7AMDy0Atwb,Out Of Love,77,alessia cara growing pains,0.8,https://api.spotify.com/v1/audio-analysis/4WzhjxvLP95y7AMDy0Atwb,0.492,227693,0.267,4WzhjxvLP95y7AMDy0Atwb,0.0,7,0.249,-9.25,1,0.0336,117.679,3,https://api.spotify.com/v1/tracks/4WzhjxvLP95y7AMDy0Atwb,audio_features,spotify:track:4WzhjxvLP95y7AMDy0Atwb,0.137,1,22050,227.69333,0.22054,4WzhjxvLP95y7AMDy0Atwb,7,0.321,-9.25,1,0.556,5020638,0,,219.75365,117.679,0.068,3,1.0,0
Alessia Cara,175506,False,1ehPJRt49h6N0LoryqKZXq,How Far I'll Go - Alessia Cara Version,72,alessia cara how far i'll go,0.124,https://api.spotify.com/v1/audio-analysis/1ehPJRt49h6N0LoryqKZXq,0.317,175507,0.562,1ehPJRt49h6N0LoryqKZXq,0.000144,9,0.0667,-9.609,1,0.395,181.1,4,https://api.spotify.com/v1/tracks/1ehPJRt49h6N0LoryqKZXq,audio_features,spotify:track:1ehPJRt49h6N0LoryqKZXq,0.132,1,22050,175.50667,4.91683,1ehPJRt49h6N0LoryqKZXq,9,0.008,-9.629,1,0.036,3869922,0,,167.50875,180.994,0.265,4,1.0,0
Alessia Cara,230226,False,0prNGof3XqfTvNDxHonvdK,Scars To Your Beautiful,75,alessia cara scars to your beautiful,0.0285,https://api.spotify.com/v1/audio-analysis/0prNGof3XqfTvNDxHonvdK,0.573,230227,0.739,0prNGof3XqfTvNDxHonvdK,0.0,0,0.111,-5.74,1,0.129,97.085,4,https://api.spotify.com/v1/tracks/0prNGof3XqfTvNDxHonvdK,audio_features,spotify:track:0prNGof3XqfTvNDxHonvdK,0.451,1,22050,230.22667,0.0,0prNGof3XqfTvNDxHonvdK,0,0.322,-5.74,1,0.411,5076498,0,,215.78304,97.085,0.001,4,1.0,0
Alice Merton,235813,False,4CdfFYzaAJ0y0beKzmgJSn,No Roots,62,alice merton no roots,0.264,https://api.spotify.com/v1/audio-analysis/4CdfFYzaAJ0y0beKzmgJSn,0.863,235813,0.657,4CdfFYzaAJ0y0beKzmgJSn,0.00619,7,0.0713,-7.295,1,0.105,115.958,4,https://api.spotify.com/v1/tracks/4CdfFYzaAJ0y0beKzmgJSn,audio_features,spotify:track:4CdfFYzaAJ0y0beKzmgJSn,0.829,1,22050,235.81333,0.0,4CdfFYzaAJ0y0beKzmgJSn,7,0.133,-7.295,1,0.375,5199684,0,,229.30866,115.958,0.892,4,1.0,0
Aminé,209640,True,5hTpBe8h35rJ67eAWHQsJx,Caroline,78,amine caroline,0.17,https://api.spotify.com/v1/audio-analysis/5hTpBe8h35rJ67eAWHQsJx,0.941,209640,0.335,5hTpBe8h35rJ67eAWHQsJx,0.0,5,0.262,-10.179,0,0.505,120.041,4,https://api.spotify.com/v1/tracks/5hTpBe8h35rJ67eAWHQsJx,audio_features,spotify:track:5hTpBe8h35rJ67eAWHQsJx,0.707,1,22050,209.64,0.24984,5hTpBe8h35rJ67eAWHQsJx,5,0.0,-10.179,0,0.096,4622562,0,,206.58794,120.041,0.114,4,0.97,0
Andy Grammer,198001,False,5NDUXbMwcnTQp66tI2zcdR,Fresh Eyes,72,andy grammer fresh eyes,0.548,https://api.spotify.com/v1/audio-analysis/5NDUXbMwcnTQp66tI2zcdR,0.828,198001,0.56,5NDUXbMwcnTQp66tI2zcdR,3.66e-05,0,0.15,-6.685,1,0.0327,122.054,4,https://api.spotify.com/v1/tracks/5NDUXbMwcnTQp66tI2zcdR,audio_features,spotify:track:5NDUXbMwcnTQp66tI2zcdR,0.872,1,22050,198.00104,0.22077,5NDUXbMwcnTQp66tI2zcdR,0,0.274,-6.685,1,0.475,4365923,0,,192.80109,122.054,0.896,4,1.0,0
Andy Williams,151933,False,5hslUAKq9I9CG2bAulFkHN,It's the Most Wonderful Time of the Year,57,andy williams it's the most wonderful time of the year,0.766,https://api.spotify.com/v1/audio-analysis/5hslUAKq9I9CG2bAulFkHN,0.24,151933,0.598,5hslUAKq9I9CG2bAulFkHN,0.0,7,0.117,-8.435,1,0.037,202.082,3,https://api.spotify.com/v1/tracks/5hslUAKq9I9CG2bAulFkHN,audio_features,spotify:track:5hslUAKq9I9CG2bAulFkHN,0.776,1,22050,151.93333,0.37288,5hslUAKq9I9CG2bAulFkHN,7,0.071,-8.435,1,0.119,3350130,0,,145.1015,202.082,0.427,3,1.0,0
"Ariana Grande, John Legend",227933,False,5mRNFh0zp9qY1kDpecN9ot,Beauty and the Beast,62,ariana grande beauty and the beast,0.134,https://api.spotify.com/v1/audio-analysis/5mRNFh0zp9qY1kDpecN9ot,0.492,227933,0.532,5mRNFh0zp9qY1kDpecN9ot,0.0,6,0.101,-7.035,1,0.027,81.306,4,https://api.spotify.com/v1/tracks/5mRNFh0zp9qY1kDpecN9ot,audio_features,spotify:track:5mRNFh0zp9qY1kDpecN9ot,0.267,1,22050,227.93333,0.11624,5mRNFh0zp9qY1kDpecN9ot,6,0.214,-7.035,1,0.501,5025930,0,,218.86549,81.306,0.16,4,1.0,0
"Ariana Grande, Future",194840,True,6yL2kTsdVwYnGwPkKGtMd5,Everyday,75,ariana grande everyday,0.0152,https://api.spotify.com/v1/audio-analysis/6yL2kTsdVwYnGwPkKGtMd5,0.637,194840,0.733,6yL2kTsdVwYnGwPkKGtMd5,0.0,7,0.162,-4.387,0,0.0553,131.005,4,https://api.spotify.com/v1/tracks/6yL2kTsdVwYnGwPkKGtMd5,audio_features,spotify:track:6yL2kTsdVwYnGwPkKGtMd5,0.432,1,22050,194.84,0.19728,6yL2kTsdVwYnGwPkKGtMd5,7,0.698,-4.387,0,0.63,4296222,0,,187.9307,131.005,0.391,4,1.0,0
